city,country,temp_max,temp_min
Rots,FR,7.13,6.25
city,country,temp_max,temp_min
Arrondissement d'Ajaccio,FR,11.09,9.03
city,country,temp_max,temp_min
Crépy-en-Valois,FR,5.73,4.03
city,country,temp_max,temp_min
Virelade,FR,10.84,5.08
city,country,temp_max,temp_min
Châteauneuf-les-Martigues,FR,11.96,8.14
city,country,temp_max,temp_min
Castandet,FR,12,9.78
city,country,temp_max,temp_min
Saint-Laurent-du-Var,FR,12.96,11.29
city,country,temp_max,temp_min
Vienne,FR,3.91,0.56
city,country,temp_max,temp_min
Bonneuil-en-France,FR,6.05,4.34
city,country,temp_max,temp_min
Wittenheim,FR,3.97,0.03
city,country,temp_max,temp_min
Vallauris,FR,13.74,10.76
city,country,temp_max,temp_min
Sin-le-Noble,FR,6.86,5.45
city,country,temp_max,temp_min
Sens,FR,5.1,3.23
city,country,temp_max,temp_min
Saint-Priest,FR,2.22,-1.02
city,country,temp_max,temp_min
Saint-Pol-sur-Mer,FR,7.25,6.19
city,country,temp_max,temp_min
Saint-Pierre-des-Corps,FR,5.36,4.12
city,country,temp_max,temp_min
Saint-Pierre-des-Corps,FR,5.36,4.12
city,country,temp_max,temp_min
Saint-Maximin-la-Sainte-Baume,FR,11.07,8.47
city,country,temp_max,temp_min
Saint-Martin-d'Hères,FR,4.86,0.91
city,country,temp_max,temp_min
Saint-Jean-de-la-Ruelle,FR,4.14,3.28
city,country,temp_max,temp_min
Saint-Jean-de-Braye,FR,4.18,3.71
city,country,temp_max,temp_min
Saint-Jean-de-Braye,FR,4.14,3.68
city,country,temp_max,temp_min
Saint-Fons,FR,2.41,-0.83
city,country,temp_max,temp_min
Saintes,FR,2.03,1.68
city,country,temp_max,temp_min
Sainte-Foy-lès-Lyon,FR,1.74,-0.25
city,country,temp_max,temp_min
Saint Egreve,FR,4.86,0.91
city,country,temp_max,temp_min
Saint-Dié-des-Vosges,FR,1.16,-0.96
city,country,temp_max,temp_min
Saint-Cyr-sur-Loire,FR,5.14,3.91
city,country,temp_max,temp_min
Saint-Amand-les-Eaux,FR,6.79,5.44
city,country,temp_max,temp_min
Pontivy,FR,6.53,5.14
city,country,temp_max,temp_min
Ploemeur,FR,8.33,6.05
city,country,temp_max,temp_min
Pertuis,FR,10.81,6.99
city,country,temp_max,temp_min
Palaiseau,FR,5.8,4.14
city,country,temp_max,temp_min
Outreau,FR,7.97,3.18
city,country,temp_max,temp_min
Oullins,FR,2.39,-0.85
city,country,temp_max,temp_min
Cherbourg-en-Cotentin,FR,9.45,7.49
city,country,temp_max,temp_min
Octeville,FR,8.88,6.92
city,country,temp_max,temp_min
Noyon,FR,5.36,4.29
city,country,temp_max,temp_min
Noyon,FR,5.36,4.29
city,country,temp_max,temp_min
Niort,FR,1.94,1.58
city,country,temp_max,temp_min
Morlaix,FR,10.42,6.4
city,country,temp_max,temp_min
Montivilliers,FR,7.31,6.31
city,country,temp_max,temp_min
Montigny-lès-Metz,FR,6.53,0.51
city,country,temp_max,temp_min
Millau,FR,11.38,11.38
city,country,temp_max,temp_min
Meyzieu,FR,3.6,-0.99
city,country,temp_max,temp_min
Meylan,FR,4.48,0.53
city,country,temp_max,temp_min
Mayenne,FR,5.95,5.95
city,country,temp_max,temp_min
Mauguio,FR,10.94,9.43
